ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_score,spatially_interpolated,beans,cassava,cassava_fao,groundnuts,maize,rice,o_beans,h_beans,l_beans,c_beans,inflation_beans,trust_beans,o_cassava,h_cassava,l_cassava,c_cassava,inflation_cassava,trust_cassava,o_cassava_fao,h_cassava_fao,l_cassava_fao,c_cassava_fao,inflation_cassava_fao,trust_cassava_fao,o_groundnuts,h_groundnuts,l_groundnuts,c_groundnuts,inflation_groundnuts,trust_groundnuts,o_maize,h_maize,l_maize,c_maize,inflation_maize,trust_maize,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index,inflation_food_price_index,trust_food_price_index
MWI,Malawi,Central Region,Lilongwe,Area 23,-14.03,33.49,gid_-140300000334900000,2007-01-01,2007,1,MWK,"beans (1 KG, Index Weight = 1), cassava (1 KG, Index Weight = 0.5), cassava_fao (1 Kg, Index Weight = 0.5), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1)",Jan 2007,Aug 2026,35.46,57.55,0.97,0,,,,,,,114.52,125.81,107.82,117.03,,9,24.13,26.59,22.79,24.75,,9.2,28.61,31.31,27.32,29.33,,9.7,105.63,114.96,100.5,107.77,,9.3,15.15,17.11,13.97,15.56,,9,123.55,132.25,119.07,125.7,,9.7,0.15,0.16,0.14,0.15,,9.4
MWI,Malawi,Central Region,Lilongwe,Area 23,-14.03,33.49,gid_-140300000334900000,2007-02-01,2007,2,MWK,"beans (1 KG, Index Weight = 1), cassava (1 KG, Index Weight = 0.5), cassava_fao (1 Kg, Index Weight = 0.5), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1)",Jan 2007,Aug 2026,35.46,57.55,0.97,0,,,,,,,119.37,128.56,107.85,107.85,,9,25.32,27.27,23.37,24.12,,9.2,30.05,32.1,26.84,26.84,,9.7,109.92,117.3,99.41,99.41,,9.3,15.95,17.56,13.14,13.14,,9,127.84,134.54,116.2,116.2,,9.7,0.15,0.16,0.14,0.14,,9.4
MWI,Malawi,Central Region,Lilongwe,Area 23,-14.03,33.49,gid_-140300000334900000,2007-03-01,2007,3,MWK,"beans (1 KG, Index Weight = 1), cassava (1 KG, Index Weight = 0.5), cassava_fao (1 Kg, Index Weight = 0.5), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1)",Jan 2007,Aug 2026,35.46,57.55,0.97,0,,,,,,,111.83,120.31,103.35,119.34,,9,24.86,26.75,22.96,24.47,,9.2,27.51,29.38,25.64,27.66,,9.7,102.2,109.05,95.36,106.28,,9.3,13.12,14.43,11.81,12.45,,9,118.48,124.66,112.3,123.51,,9.7,0.14,0.15,0.13,0.15,,9.4
MWI,Malawi,Central Region,Lilongwe,Area 23,-14.03,33.49,gid_-140300000334900000,2007-04-01,2007,4,MWK,"beans (1 KG, Index Weight = 1), cassava (1 KG, Index Weight = 0.5), cassava_fao (1 Kg, Index Weight = 0.5), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1)",Jan 2007,Aug 2026,35.46,57.55,0.97,0,,,,,,,121.95,131.32,112.58,117.31,,9,25.37,27.29,23.45,24.64,,9.2,28.35,30.27,26.42,27.32,,9.7,108.61,115.87,101.36,104.52,,9.3,12.76,14.04,11.47,12.29,,9,125.63,132.21,119.04,120.21,,9.7,0.15,0.16,0.14,0.15,,9.4
MWI,Malawi,Central Region,Lilongwe,Area 23,-14.03,33.49,gid_-140300000334900000,2007-05-01,2007,5,MWK,"beans (1 KG, Index Weight = 1), cassava (1 KG, Index Weight = 0.5), cassava_fao (1 Kg, Index Weight = 0.5), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1)",Jan 2007,Aug 2026,35.46,57.55,0.97,0,,,,,,,119.64,128.84,110.45,121.56,,9,25.44,27.37,23.51,24.57,,9.2,28.01,29.91,26.1,27.55,,9.7,107.09,114.16,100.02,106.24,,9.3,12.58,13.89,11.27,11.45,,9,122.42,128.84,116,125.54,,9.7,0.15,0.16,0.14,0.15,,9.4
MWI,Malawi,Central Region,Lilongwe,Area 23,-14.03,33.49,gid_-140300000334900000,2007-06-01,2007,6,MWK,"beans (1 KG, Index Weight = 1), cassava (1 KG, Index Weight = 0.5), cassava_fao (1 Kg, Index Weight = 0.5), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1)",Jan 2007,Aug 2026,35.46,57.55,0.97,0,,,,,,,124.37,133.88,114.87,120.86,,9,25.46,27.38,23.53,23.79,,9.2,28.24,30.16,26.32,27.2,,9.7,108.77,115.87,101.66,105.5,,9.3,11.61,12.85,10.37,11.74,,9,127.67,134.4,120.94,125.09,,9.7,0.15,0.16,0.14,0.15,,9.4
MWI,Malawi,Central Region,Lilongwe,Area 23,-14.03,33.49,gid_-140300000334900000,2007-07-01,2007,7,MWK,"beans (1 KG, Index Weight = 1), cassava (1 KG, Index Weight = 0.5), cassava_fao (1 Kg, Index Weight = 0.5), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1)",Jan 2007,Aug 2026,35.46,57.55,0.97,0,,,,,,,123.8,133.23,101.13,101.13,,9,24.79,29.08,22.93,29.08,,9.2,27.89,29.79,25.99,27.7,,9.7,108.15,115.14,92.58,92.58,,9.3,12.1,13.41,10.79,11.74,,9,127.29,134.01,108.04,108.04,,9.7,0.15,0.16,0.13,0.13,,9.4
MWI,Malawi,Central Region,Lilongwe,Area 23,-14.03,33.49,gid_-140300000334900000,2007-08-01,2007,8,MWK,"beans (1 KG, Index Weight = 1), cassava (1 KG, Index Weight = 0.5), cassava_fao (1 Kg, Index Weight = 0.5), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1)",Jan 2007,Aug 2026,35.46,57.55,0.97,0,,,,,,,106.75,114.71,91.27,91.27,,9,29.45,31.73,27.16,29.23,,9.2,28.39,30.33,26.46,26.8,,9.7,95.89,102.21,82.49,82.49,,9.3,11.99,13.34,10.64,11.22,,9,110.38,116.1,97.13,97.13,,9.7,0.14,0.14,0.12,0.12,,9.4
MWI,Malawi,Central Region,Lilongwe,Area 23,-14.03,33.49,gid_-140300000334900000,2007-09-01,2007,9,MWK,"beans (1 KG, Index Weight = 1), cassava (1 KG, Index Weight = 0.5), cassava_fao (1 Kg, Index Weight = 0.5), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1)",Jan 2007,Aug 2026,35.46,57.55,0.97,0,,,,,,,97.62,104.84,90.4,92.13,,9,28.89,31.18,26.6,29.7,,9.2,27.48,29.35,25.61,27.05,,9.7,86.02,91.8,80.24,83,,9.3,11.41,12.73,10.1,11.16,,9,99.34,104.45,94.24,98.23,,9.7,0.12,0.13,0.12,0.12,,9.4
MWI,Malawi,Central Region,Lilongwe,Area 23,-14.03,33.49,gid_-140300000334900000,2007-10-01,2007,10,MWK,"beans (1 KG, Index Weight = 1), cassava (1 KG, Index Weight = 0.5), cassava_fao (1 Kg, Index Weight = 0.5), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1)",Jan 2007,Aug 2026,35.46,57.55,0.97,0,,,,,,,96.84,104.12,89.57,93.61,,9,30.35,32.68,28.03,29.84,,9.2,27.74,29.63,25.38,25.38,,9.7,86.2,91.96,80.44,89.25,,9.3,11.44,12.79,10.09,12.73,,9,100.23,105.41,95.04,104.13,,9.7,0.13,0.13,0.12,0.13,,9.4
MWI,Malawi,Central Region,Lilongwe,Area 23,-14.03,33.49,gid_-140300000334900000,2007-11-01,2007,11,MWK,"beans (1 KG, Index Weight = 1), cassava (1 KG, Index Weight = 0.5), cassava_fao (1 Kg, Index Weight = 0.5), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1)",Jan 2007,Aug 2026,35.46,57.55,0.97,0,,,,,,,96.94,122.52,89.56,122.52,,9,30.48,32.81,28.14,31.57,,9.2,26.03,35.06,24.26,35.06,,9.7,91.88,108.25,85.75,108.25,,9.3,13.29,17.69,11.75,17.69,,9,105.97,127.53,100.46,127.53,,9.7,0.13,0.16,0.12,0.16,,9.4
MWI,Malawi,Central Region,Lilongwe,Area 23,-14.03,33.49,gid_-140300000334900000,2007-12-01,2007,12,MWK,"beans (1 KG, Index Weight = 1), cassava (1 KG, Index Weight = 0.5), cassava_fao (1 Kg, Index Weight = 0.5), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1)",Jan 2007,Aug 2026,35.46,57.55,0.97,0,,,,,,,120.23,130.1,110.37,127.19,,9,32.3,34.77,29.83,32.94,,9.2,35.93,38.39,33.46,36.56,,9.7,109.45,117.25,101.65,114.84,,9.3,18.97,20.77,17.16,18.6,,9,129.06,135.65,122.48,135.1,,9.7,0.16,0.17,0.15,0.17,,9.4
MWI,Malawi,Central Region,Lilongwe,Area 23,-14.03,33.49,gid_-140300000334900000,2008-01-01,2008,1,MWK,"beans (1 KG, Index Weight = 1), cassava (1 KG, Index Weight = 0.5), cassava_fao (1 Kg, Index Weight = 0.5), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1)",Jan 2007,Aug 2026,35.46,57.55,0.97,0,,,,,,,124.52,134.73,114.3,125.57,7.3,9,33.4,35.98,30.83,33.12,33.82,9.2,37.47,40.04,34.89,37.35,27.33,9.7,115.96,124.17,107.75,118.83,10.26,9.3,18.79,22.78,16.83,22.78,46.42,9,136.87,143.87,129.88,139.48,10.97,9.7,0.17,0.18,0.16,0.17,13.31,9.4
MWI,Malawi,Central Region,Lilongwe,Area 23,-14.03,33.49,gid_-140300000334900000,2008-02-01,2008,2,MWK,"beans (1 KG, Index Weight = 1), cassava (1 KG, Index Weight = 0.5), cassava_fao (1 Kg, Index Weight = 0.5), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1)",Jan 2007,Aug 2026,35.46,57.55,0.97,0,,,,,,,127.01,137.07,116.94,132.58,22.94,9,33.84,36.42,31.25,34.41,42.68,9.2,38.28,41.51,35.65,41.51,54.64,9.7,120.13,128.53,111.72,127.63,28.38,9.3,24.06,28.26,21.8,28.26,115.08,9,141.5,148.74,134.26,148.18,27.52,9.7,0.17,0.18,0.16,0.18,32.73,9.4
MWI,Malawi,Central Region,Lilongwe,Area 23,-14.03,33.49,gid_-140300000334900000,2008-03-01,2008,3,MWK,"beans (1 KG, Index Weight = 1), cassava (1 KG, Index Weight = 0.5), cassava_fao (1 Kg, Index Weight = 0.5), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1)",Jan 2007,Aug 2026,35.46,57.55,0.97,0,,,,,,,134.24,144.84,123.64,133.51,11.87,9,35.23,37.91,32.55,34.42,40.7,9.2,42.52,45.45,39.6,42.15,52.43,9.7,128.71,137.7,119.73,127.41,19.89,9.3,29.55,32.23,26.86,29.22,134.68,9,150.31,158.01,142.6,148.75,20.44,9.7,0.19,0.2,0.18,0.19,24.78,9.4
MWI,Malawi,Central Region,Lilongwe,Area 23,-14.03,33.49,gid_-140300000334900000,2008-04-01,2008,4,MWK,"beans (1 KG, Index Weight = 1), cassava (1 KG, Index Weight = 0.5), cassava_fao (1 Kg, Index Weight = 0.5), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1)",Jan 2007,Aug 2026,35.46,57.55,0.97,0,,,,,,,135.74,146.39,123.3,123.3,5.11,9,35.27,37.94,32.59,32.87,33.4,9.2,43.19,46.16,38.62,38.62,41.36,9.7,129.07,137.94,118.73,118.73,13.6,9.3,29.68,32.57,25.7,25.7,109.1,9,151.13,158.89,139.14,139.14,15.75,9.7,0.19,0.2,0.17,0.17,17.52,9.4
